,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
0,Henrik Stenson,2018,60,69.617,0,5.0,868.0,75.19,291.5,73.51,60.67,-0.207,0.427,0.96,1.153,"$2,680,487 "
1,Ryan Armour,2018,109,70.758,1.0,3.0,1006.0,73.58,283.5,68.22,60.13,-0.058,-0.012,0.213,0.337,"$2,485,203 "
2,Chez Reavie,2018,93,70.432,0,3.0,1020.0,72.24,286.5,68.67,62.27,0.192,0.183,0.437,0.674,"$2,700,018 "
3,Ryan Moore,2018,78,70.015,0,5.0,795.0,71.94,289.2,68.8,64.16,-0.271,0.406,0.532,0.941,"$1,986,608 "
4,Brian Stuard,2018,103,71.038,0,3.0,421.0,71.44,278.9,67.12,59.23,0.164,-0.227,0.099,0.062,"$1,089,763 "
5,Brian Gay,2018,103,70.28,0,6.0,880.0,71.37,282.9,64.52,63.26,0.442,-0.166,0.036,0.565,"$2,152,501 "
6,Kyle Stanley,2018,93,70.404,0,5.0,1198.0,71.29,295.7,71.09,54.8,0.037,0.378,0.298,0.686,"$3,916,001 "
7,Emiliano Grillo,2018,94,70.152,0,5.0,901.0,70.16,295.2,68.84,61.05,0.546,0.364,0.345,1.133,"$2,493,163 "
8,Russell Henley,2018,77,70.489,0,3.0,569.0,70.03,293.0,68.77,54.33,0.167,0.093,0.467,0.541,"$1,516,438 "
9,Jim Furyk,2018,50,70.342,0,2.0,291.0,69.91,280.5,63.19,62.58,0.389,-0.392,0.179,0.412,"$660,010 "
10,Steve Wheatcroft,2018,60,71.631,0,1.0,138.0,69.79,288.9,66.57,61.03,-0.128,0.112,-0.065,-0.339,"$309,656 "
11,Kevin Streelman,2018,94,70.436,0,5.0,673.0,69.11,295.1,71.56,60.93,-0.25,0.439,0.415,0.619,"$1,523,642 "
12,C.T. Pan,2018,104,70.457,0,1.0,693.0,68.98,292.7,71.2,56.89,-0.067,0.215,0.267,0.478,"$1,881,787 "
13,David Lingmerth,2018,82,71.043,0,0,274.0,68.93,285.4,63.03,58.57,0.229,0.006,-0.16,-0.007,"$616,758 "
14,Keegan Bradley,2018,98,70.303,0,4.0,872.0,67.9,299.6,69.18,56.78,-0.358,0.237,0.888,0.793,"$4,069,464 "
15,Rafa Cabrera Bello,2018,75,69.887,0,4.0,784.0,67.85,295.1,70.16,57.98,0.273,0.256,0.487,1.112,"$2,449,869 "
16,Billy Horschel,2018,86,70.154,1.0,3.0,960.0,67.8,295.4,71.75,58.03,0.392,0.538,0.352,1.112,"$4,315,200 "
17,Russell Knox,2018,94,70.568,0,3.0,585.0,67.7,291.7,69.57,59.43,-0.088,0.059,0.263,0.383,"$1,424,030 "
18,Ben Crane,2018,65,71.097,0,1.0,267.0,67.52,281.1,64.88,63.0,0.332,-0.302,-0.038,0.176,"$620,646 "
19,Vaughn Taylor,2018,83,70.692,0,3.0,445.0,67.51,286.1,67.02,59.91,-0.08,-0.005,0.305,0.219,"$965,691 "
20,Brian Harman,2018,94,70.536,0,8.0,1056.0,67.14,291.9,67.59,56.95,0.273,0.137,-0.024,0.29,"$2,733,463 "
21,Sam Ryder,2018,82,70.914,0,3.0,442.0,66.91,297.3,72.08,56.47,-0.349,0.203,0.399,0.154,"$1,046,166 "
22,"Ted Potter, Jr.",2018,87,71.024,1.0,1.0,744.0,66.83,286.0,63.03,57.51,0.074,-0.074,-0.2,-0.094,"$1,976,198 "
23,Austin Cook,2018,107,70.469,1.0,3.0,1060.0,66.76,292.3,66.51,62.02,0.315,0.12,-0.045,0.569,"$2,448,920 "
24,Tyler Duncan,2018,97,71.04,0,2.0,457.0,66.74,294.4,69.65,52.76,-0.566,0.273,0.476,0.017,"$944,021 "
25,David Hearn,2018,66,71.325,0,2.0,315.0,66.63,285.1,68.89,55.65,-0.127,-0.17,0.379,-0.031,"$622,383 "
26,Alex Cejka,2018,77,70.675,0,2.0,502.0,66.49,286.7,63.77,64.0,0.009,-0.024,-0.169,0.312,"$1,198,541 "
27,Ian Poulter,2018,73,70.593,1.0,4.0,1030.0,66.41,293.6,67.01,57.11,0.223,0.141,0.435,0.85,"$2,714,450 "
28,Joel Dahmen,2018,93,70.578,0,3.0,676.0,66.36,295.8,68.82,63.31,-0.277,0.3,0.381,0.4,"$1,476,838 "
29,Kevin Kisner,2018,89,70.729,0,4.0,971.0,66.33,290.8,65.38,60.29,0.513,-0.043,-0.316,0.037,"$2,972,285 "
30,J.J. Henry,2018,81,71.372,0,1.0,239.0,66.22,291.8,70.52,54.77,-0.569,0.174,0.34,-0.193,"$482,052 "
31,J.J. Spaun,2018,85,70.525,0,4.0,849.0,66.18,298.2,69.48,55.76,-0.149,0.286,0.41,0.292,"$1,978,906 "
32,Justin Rose,2018,70,68.993,2.0,8.0,1991.0,66.02,303.5,69.95,63.03,0.424,0.551,0.526,1.952,"$8,130,678 "
33,Kelly Kraft,2018,94,71.333,0,3.0,627.0,65.84,288.6,63.83,58.93,0.075,-0.286,0.017,-0.32,"$1,496,253 "
34,Conrad Shindler,2018,60,71.465,0,0,92.0,65.77,291.3,66.27,60.0,-0.166,0.114,-0.008,-0.313,"$187,399 "
35,Scott Piercy,2018,84,70.736,1.0,2.0,802.0,65.68,296.6,69.72,55.96,-0.569,0.209,0.553,0.29,"$1,882,337 "
