,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
0,Brooks Koepka,2019,77,69.448,3,8,2887.0,62.50,308.3,70.08,62.07,.210,.527,.595,1.353,"$9,684,006"
1,Rory McIlroy,2019,68,69.203,2,12,2315.0,61.67,314.0,68.49,63.09,.416,1.185,.621,2.495,"$7,785,286"
2,Matt Kuchar,2019,83,69.874,2,8,2313.0,67.95,289.5,70.10,63.33,.252,.100,.710,1.177,"$6,294,690"
3,Xander Schauffele,2019,73,69.969,2,5,1858.0,60.77,303.7,68.25,62.00,.231,.485,.356,1.300,"$5,609,456"
4,Gary Woodland,2019,83,70.230,1,8,1795.0,63.81,308.7,69.24,57.56,-.113,.527,.564,.954,"$5,690,965"
5,Patrick Cantlay,2019,73,69.135,1,8,1730.0,58.19,305.0,67.65,67.42,.545,.556,.672,2.165,"$6,121,488"
6,Dustin Johnson,2019,69,69.693,1,7,1686.0,55.80,311.7,67.76,59.27,.201,.725,.483,1.670,"$5,534,619"
7,Paul Casey,2019,75,69.911,1,6,1629.0,68.28,298.0,71.05,58.38,-.125,.624,.698,1.328,"$4,257,040"
8,Webb Simpson,2019,77,69.304,,6,1619.0,67.63,288.5,66.29,67.71,.559,.066,.694,1.644,"$4,690,572"
9,Jon Rahm,2019,71,69.596,1,10,1447.0,63.28,306.0,69.10,60.39,.406,.798,.316,1.626,"$4,990,110"
10,Justin Rose,2019,62,69.729,1,6,1423.0,60.34,303.8,64.75,62.50,.674,.213,.516,1.462,"$4,358,849"
11,Marc Leishman,2019,72,70.418,1,7,1415.0,59.83,296.3,67.48,63.57,.366,-.053,.523,.950,"$3,886,577"
12,Rickie Fowler,2019,72,69.926,1,6,1391.0,61.31,303.1,68.21,61.17,.509,.268,.256,1.170,"$3,945,810"
13,Chez Reavie,2019,95,70.316,1,5,1309.0,75.67,287.0,67.93,60.04,.112,.249,.590,.796,"$3,660,909"
14,Charles Howell III,2019,90,70.461,1,5,1279.0,62.85,302.7,71.20,63.41,.259,.274,-.013,.912,"$3,039,049"
15,Tony Finau,2019,85,70.004,,4,1279.0,56.93,309.8,67.57,62.10,-.153,.451,.411,.750,"$4,344,380"
16,Justin Thomas,2019,71,69.480,,5,1247.0,60.25,301.8,71.08,60.45,-.159,.447,1.097,1.696,"$5,013,084"
17,Bryson DeChambeau,2019,71,70.248,1,5,1203.0,65.06,301.9,65.85,61.96,.350,.413,.240,1.011,"$3,186,232"
18,Tommy Fleetwood,2019,67,69.714,,6,1193.0,64.48,298.2,66.94,67.79,.261,.579,.237,1.387,"$3,853,651"
20,Adam Scott,2019,59,69.762,,6,1124.0,60.73,299.3,68.42,60.80,.323,.349,.810,1.886,"$4,084,541"
21,Kevin Kisner,2019,93,70.475,1,3,1098.0,69.90,286.2,67.34,60.79,.414,.168,.287,.664,"$3,489,144"
22,Sungjae Im,2019,118,70.253,,7,1097.0,65.87,295.6,68.03,64.79,.262,.361,.137,1.075,"$2,851,134"
23,Ryan Palmer,2019,74,70.679,1,6,1088.0,60.67,298.6,68.35,59.31,.041,.255,.395,.475,"$2,873,316"
24,Francesco Molinari,2019,61,70.974,1,3,1054.0,66.45,288.7,63.58,62.99,-.211,.105,.040,.038,"$3,467,143"
25,Scott Piercy,2019,90,70.333,,6,1025.0,67.61,292.4,70.09,63.93,.146,.270,.147,.631,"$2,679,915"
26,J.T. Poston,2019,100,70.633,1,3,1015.0,62.89,293.8,66.84,62.83,.212,.032,.223,.506,"$2,461,215"
28,Sung Kang,2019,86,71.101,1,4,986.0,60.72,300.5,66.14,59.96,-.088,.165,.036,.030,"$2,801,650"
29,Hideki Matsuyama,2019,87,69.859,,5,969.0,62.33,302.9,69.71,63.97,.003,.448,.760,1.554,"$3,335,137"
30,Corey Conners,2019,86,70.766,1,3,962.0,67.04,296.8,73.31,56.60,-.510,.650,.696,.717,"$2,919,864"
31,Lucas Glover,2019,90,69.972,,6,947.0,66.72,295.9,68.86,65.77,.168,.351,.467,1.155,"$2,613,965"
32,Brandt Snedeker,2019,98,70.501,,4,934.0,63.36,286.9,64.74,63.35,.677,-.187,.040,1.063,"$3,122,936"
33,Phil Mickelson,2019,63,71.331,1,2,903.0,50.77,306.3,64.17,54.26,-.160,-.307,-.065,-.438,"$2,440,221"
34,C.T. Pan,2019,84,70.966,1,2,900.0,64.77,285.0,64.16,63.71,-.062,-.114,.054,.059,"$2,362,399"
35,Rory Sabbatini,2019,97,70.409,,6,895.0,66.92,289.4,66.91,63.90,.154,.300,.103,.820,"$2,382,298"
36,Keith Mitchell,2019,86,71.021,1,3,884.0,60.38,303.2,67.34,57.17,-.338,.657,.037,.254,"$2,405,360"
37,Andrew Putnam,2019,81,70.644,,3,873.0,60.64,281.5,65.94,59.23,.700,-.639,.414,.536,"$2,439,137"
38,Jim Furyk,2019,73,70.090,,3,865.0,74.45,275.0,69.28,64.10,.113,-.072,.741,.897,"$2,669,938"
39,Jason Day,2019,69,70.212,,6,865.0,61.76,302.0,69.70,59.60,.356,.535,-.083,.833,"$2,637,480"
40,Kevin Tway,2019,84,71.020,1,2,863.0,55.26,303.8,67.01,61.05,-.131,-.099,.124,.143,"$2,300,050"
41,Jason Kokrak,2019,90,70.488,,5,854.0,63.08,306.1,68.60,60.70,.012,.581,.717,1.050,"$2,330,212"
42,Nate Lashley,2019,70,70.692,1,2,836.0,65.19,289.6,67.48,62.06,.304,-.247,.487,.523,"$2,030,287"
43,Billy Horschel,2019,99,70.644,,4,835.0,64.71,291.8,67.63,61.38,.522,.145,.147,.829,"$2,187,249"
44,Si Woo Kim,2019,87,70.963,,5,832.0,62.95,292.4,64.91,63.51,-.060,.066,-.177,.134,"$2,191,808"
45,Adam Hadwin,2019,86,70.545,,5,818.0,67.77,291.2,67.55,57.62,.252,.310,.008,.343,"$2,039,012"
46,J.B. Holmes,2019,78,71.735,1,2,815.0,56.50,306.7,65.57,57.50,-.752,.210,.079,-.450,"$2,147,065"
47,Kevin Na,2019,65,71.144,1,3,815.0,64.05,289.6,64.44,58.85,.089,-.282,-.076,.087,"$2,257,309"
49,Patrick Reed,2019,89,70.207,,3,774.0,60.75,296.6,66.60,63.17,.264,.160,.186,.939,"$3,593,844"
50,Louis Oosthuizen,2019,67,70.261,,4,754.0,67.34,295.7,67.41,61.65,.102,.101,.302,.867,"$2,539,183"
51,Max Homa,2019,82,71.110,1,2,742.0,57.48,300.2,65.14,58.37,-.006,.213,.179,.082,"$2,063,606"
52,Dylan Frittelli,2019,83,70.737,1,1,735.0,62.71,296.5,68.24,62.63,-.169,.272,.186,.439,"$1,576,974"
53,Graeme McDowell,2019,75,70.591,1,3,729.0,62.69,285.9,64.79,62.22,.731,-.426,-.016,.385,"$1,671,523"
54,Adam Long,2019,76,71.464,1,2,719.0,66.51,292.0,65.28,58.74,-.369,-.036,.138,-.418,"$1,648,007"
55,Joel Dahmen,2019,100,70.932,,2,716.0,68.51,292.4,66.72,57.39,-.102,.249,.141,.085,"$1,949,958"
56,Byeong Hun An,2019,80,70.480,,3,710.0,57.98,307.1,67.75,59.28,-.583,.351,.420,.819,"$1,990,033"
57,Keegan Bradley,2019,89,70.849,,3,700.0,66.35,298.5,68.50,59.14,-.516,.238,.567,.147,"$1,902,797"
58,Rafa Cabrera Bello,2019,71,70.780,,2,696.0,64.52,289.6,62.99,59.16,.043,.180,.089,.419,"$1,926,935"
59,Ian Poulter,2019,65,70.502,,5,690.0,63.60,291.5,66.86,59.83,.425,-.078,.150,.764,"$2,162,306"
60,Ryan Moore,2019,74,70.974,,2,690.0,75.53,282.2,68.17,59.20,.062,.114,.596,.826,"$1,838,788"
61,Emiliano Grillo,2019,85,70.814,,2,673.0,68.13,295.7,68.73,55.13,-.633,.470,.926,.418,"$1,752,114"
62,Vaughn Taylor,2019,93,70.450,,4,641.0,69.03,282.9,66.85,63.54,.636,-.205,.269,.732,"$1,723,910"
63,Cameron Champ,2019,78,71.393,1,3,639.0,55.30,317.9,69.30,52.14,-.099,.657,-.335,-.374,"$1,695,748"
64,Sergio Garcia,2019,53,70.321,,5,637.0,58.82,302.5,63.26,55.33,-.078,.350,.525,.746,"$1,793,027"
65,Danny Lee,2019,83,70.997,,3,625.0,57.08,301.4,66.74,58.97,-.240,.085,.156,-.137,"$1,524,126"
66,Abraham Ancer,2019,89,70.550,,3,622.0,70.41,292.9,67.13,62.58,-.029,.587,.041,.618,"$2,688,625"
67,Kevin Streelman,2019,83,70.763,,4,609.0,67.99,291.8,69.75,59.86,-.251,.383,.479,.669,"$1,588,881"
